"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        2 bedrooms","169,488","±4,278","28.3%","±0.7","1,064,647","±12,655","30.2%","±0.4","19,077","±1,946","22.6%","±2.3","303,053","±6,580","27.8%","±0.6","218,733","±6,312","26.3%","±0.8","373,951","±9,184","31.1%","±0.8","43,435","±2,546","27.8%","±1.7","32,292","±2,673","30.6%","±2.5","19,477","±2,021","25.2%","±2.6"
"        3 bedrooms","182,477","±4,702","30.4%","±0.8","979,959","±12,618","27.8%","±0.4","37,298","±2,706","44.2%","±3.1","328,222","±7,832","30.1%","±0.7","279,629","±6,680","33.6%","±0.8","359,006","±7,632","29.9%","±0.6","52,171","±2,755","33.5%","±1.7","36,309","±2,864","34.4%","±2.7","28,780","±1,977","37.3%","±2.5"
"        4 bedrooms","97,712","±3,478","16.3%","±0.6","430,640","±8,079","12.2%","±0.2","19,334","±2,267","22.9%","±2.7","223,215","±6,434","20.5%","±0.6","185,002","±6,317","22.3%","±0.8","209,719","±6,750","17.4%","±0.6","26,791","±2,434","17.2%","±1.6","13,838","±1,834","13.1%","±1.7","13,663","±1,489","17.7%","±2.0"
"        5 or more bedrooms","24,001","±2,152","4.0%","±0.4","113,358","±4,811","3.2%","±0.1","2,552","±962","3.0%","±1.1","65,115","±3,998","6.0%","±0.4","61,392","±3,761","7.4%","±0.5","56,161","±3,717","4.7%","±0.3","5,709","±995","3.7%","±0.6","3,647","±942","3.5%","±0.9","3,311","±769","4.3%","±1.0"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","572,012","±3,657","572,012","(X)","3,305,589","±8,089","3,305,589","(X)","77,713","±1,471","77,713","(X)","1,032,218","±5,228","1,032,218","(X)","715,040","±4,938","715,040","(X)","1,110,568","±6,697","1,110,568","(X)","142,449","±2,099","142,449","(X)","96,257","±1,860","96,257","(X)","73,055","±1,314","73,055","(X)"
"        Owner-occupied","298,896","±4,629","52.3%","±0.8","1,473,521","±8,748","44.6%","±0.2","40,561","±1,936","52.2%","±2.5","584,632","±7,865","56.6%","±0.7","457,220","±6,742","63.9%","±0.9","578,303","±8,387","52.1%","±0.7","72,634","±2,670","51.0%","±1.7","56,232","±2,964","58.4%","±3.0","36,546","±1,957","50.0%","±2.6"
"        Renter-occupied","273,116","±5,124","47.7%","±0.8","1,832,068","±8,487","55.4%","±0.2","37,152","±2,142","47.8%","±2.5","447,586","±7,178","43.4%","±0.7","257,820","±6,852","36.1%","±0.9","532,265","±7,657","47.9%","±0.7","69,815","±2,706","49.0%","±1.7","40,025","±3,133","41.6%","±3.0","36,509","±2,028","50.0%","±2.6"
"    Average household size of owner-occupied unit","2.95","±0.04","(X)","(X)","3.19","±0.02","(X)","(X)","3.25","±0.14","(X)","(X)","2.99","±0.03","(X)","(X)","3.28","±0.04","(X)","(X)","2.91","±0.03","(X)","(X)","2.91","±0.09","(X)","(X)","2.73","±0.10","(X)","(X)","2.92","±0.10","(X)","(X)"
"    Average household size of renter-occupied unit","2.68","±0.04","(X)","(X)","2.87","±0.01","(X)","(X)","3.53","±0.17","(X)","(X)","3.09","±0.03","(X)","(X)","3.31","±0.06","(X)","(X)","2.90","±0.04","(X)","(X)","3.08","±0.11","(X)","(X)","2.71","±0.14","(X)","(X)","2.77","±0.11","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
