"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        8 rooms","38,554","±2,888","6.4%","±0.5","184,641","±5,495","5.2%","±0.2","6,484","±1,377","7.6%","±1.6","89,294","±4,532","8.1%","±0.4","74,382","±4,301","8.9%","±0.5","85,828","±5,134","7.1%","±0.4","11,422","±1,572","7.3%","±1.0","5,792","±1,050","7.3%","±1.3","6,046","±1,153","7.8%","±1.5"
"        9 rooms or more","42,835","±2,651","7.1%","±0.4","173,797","±6,298","4.9%","±0.2","4,502","±935","5.3%","±1.1","86,206","±4,195","7.8%","±0.4","78,701","±3,979","9.4%","±0.5","83,895","±4,278","6.9%","±0.4","7,742","±1,191","4.9%","±0.8","4,954","±746","6.3%","±0.9","6,350","±1,272","8.1%","±1.6"
"        Median rooms","4.8","±0.1","(X)","(X)","4.6","±0.2","(X)","(X)","5.5","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","5.1","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)","5.1","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","606,053","±965","606,053","(X)","3,542,835","±1,940","3,542,835","(X)","85,267","±435","85,267","(X)","1,102,088","±958","1,102,088","(X)","840,273","±1,373","840,273","(X)","1,214,271","±1,461","1,214,271","(X)","157,049","±714","157,049","(X)","78,846","±346","78,846","(X)","77,948","±465","77,948","(X)"
"        No bedroom","28,539","±2,418","4.7%","±0.4","253,162","±8,268","7.1%","±0.2","1,809","±644","2.1%","±0.8","39,616","±3,597","3.6%","±0.3","18,180","±2,277","2.2%","±0.3","44,183","±4,045","3.6%","±0.3","6,422","±1,309","4.1%","±0.8","1,292","±497","1.6%","±0.6","1,725","±725","2.2%","±0.9"
"        1 bedroom","95,314","±4,378","15.7%","±0.7","681,624","±11,224","19.2%","±0.3","4,280","±1,090","5.0%","±1.3","134,017","±5,690","12.2%","±0.5","67,677","±3,551","8.1%","±0.4","169,976","±6,302","14.0%","±0.5","23,005","±2,540","14.6%","±1.6","6,759","±1,211","8.6%","±1.5","9,412","±1,417","12.1%","±1.8"
"        2 bedrooms","178,512","±5,774","29.5%","±0.9","1,060,388","±13,638","29.9%","±0.4","17,719","±1,978","20.8%","±2.3","308,033","±7,850","27.9%","±0.7","214,386","±7,054","25.5%","±0.8","356,269","±8,615","29.3%","±0.7","43,011","±3,037","27.4%","±1.9","19,609","±1,803","24.9%","±2.3","18,588","±1,995","23.8%","±2.6"
"        3 bedrooms","181,072","±4,941","29.9%","±0.8","1,006,819","±12,577","28.4%","±0.4","39,652","±2,445","46.5%","±2.8","330,501","±7,776","30.0%","±0.7","295,938","±7,611","35.2%","±0.9","373,456","±8,575","30.8%","±0.7","55,102","±2,984","35.1%","±1.9","40,103","±1,991","50.9%","±2.6","30,351","±2,454","38.9%","±3.1"
"        4 bedrooms","95,423","±4,037","15.7%","±0.7","424,321","±8,625","12.0%","±0.2","19,313","±1,912","22.7%","±2.2","229,777","±5,640","20.8%","±0.5","181,127","±6,858","21.6%","±0.8","212,684","±7,088","17.5%","±0.6","24,012","±2,184","15.3%","±1.4","9,387","±1,238","11.9%","±1.6","14,265","±1,538","18.3%","±2.0"
